名称,编码,中国名称
Ninja Van Philippines,ninjavan-ph,Ninja Van (菲律宾),
Leopards Express,leopardschina,LWE云豹,
Old Dominion Freight Line,old-dominion,Old Dominion Freight Line,
Roadbull Logistics,roadbull,Roadbull Logistics,
Ninja Van Thailand,ninjavan-th,Ninja Van （泰国）,
speed-post,speed-post,speed-post,
Vietnam Post,vietnam-post,越南邮政,
DHL Benelux,dhl-benelux,DHL Benelux,
Estes,estes,Estes,
Sai Cheng Logistics,saicheng,赛诚国际物流,
Better Express,cbtsd,北泰物流,
Yemen Post,yemen-post,也门邮政,
Zambia Post,zambia-post,赞比亚邮政,
8europe,8europe,败欧洲,
Overseas Logistics,overseas-logistics,Overseas Logistics 印度快递,
Zimbabwe Post,zimbabwe-post,津巴布韦邮政,
Greyhound,greyhound,Greyhound,
Linex,linexsolutions,Linex 快递,
Globegistics Inc,globegistics,Globegistics Inc,
SYD Express,suyd56,速邮达物流,
Nexive,nexive,Nexive,
Tk Kit,tk-kit,Tk Kit,
Asendia HK,asendia-hk,Asendia HK,
ASM,asmred,ASM,
Overnite Express,overnitenet,Overnite印度快递,
Airwings Courier Express India,airwings-india,Airwings Courier Express India,
Hermes Germany,hermes-de,德国Hermes,
The Professional Couriers (TPC),professional-couriers,The Professional Couriers (TPC),
International Seur,international-seur,International Seur,
ABF Freight,abf,ABF Freight,
TrakPak,trakpak,TrakPak,
Mondial Relay,mondialrelay,Mondial Relay,
Matkahuolto,matkahuolto,Matkahuolto,
LJS,bt-exp,利佳顺,
Couriers Please,couriers-please,Couriers Please,
ACS Courier,acscourier,ACS Courier,
AsiaFly,asiafly,上海亚翔,
RL Carriers,rl-carriers,RL Carriers,
Afghan Post,afghan-post,阿富汗邮政,
DPD Poland,dpd-poland,波兰DPD,
Hanjin Shipping,hanjin,韩进物流,
Albania Post,posta-shqiptare,阿尔巴尼亚邮政,
Geniki Taxydromiki,taxydromiki,Geniki Taxydromiki,
Cess,cess,国通快递,
Flying Leopards Express,njfeibao,金陵飞豹快递,
Andorra Post,andorra-post,安道尔邮政,
Envialia,envialia,Envialia,
Best Express,bestex,百世快递,
First Flight Couriers,firstflightme,First Flight Couriers,
Canpar Courier,canpar,Canpar Courier,
Adicional Logistics,adicional,Adicional Logistics,
17 Post Service,17postservice,17 Post Service,
CBL Logistics,cbl-logistica,CBL Logistics,
JET,jet,JET,
Redur Spain,redur-es,Redur Spain,
360lion Express,360lion,纬狮物联网,
Antilles Post,antilles-post,荷属安的列斯荷兰邮政,
Argentina Post,correo-argentino,阿根廷邮政,
Siodemka,siodemka,Siodemka,
Armenia Post,armenia-post,亚美尼亚邮政,
Aruba Post,aruba-post,阿鲁巴邮政,
Exapaq,exapaq,Exapaq,
HCT Express,hct,新竹物流HCT,
LDXpress,ldxpress,林道快递,
Austrian Post,austria-post,奥地利邮政,
Azerbaijan Post,azerbaijan-post,阿塞拜疆邮政,
CJ Logistics,doortodoor,韩国CJ物流,
Bahrain Post,bahrain-post,巴林邮政,
K1 Express,kuajingyihao,跨境壹号,
Bangladesh EMS,bangladesh-ems,孟加拉国 EMS,
7-ELEVEN,qi-eleven,7-ELEVEN,
Barbados Post,barbados-post,巴巴多斯邮政,
Belarus Post,belpochta,白俄罗斯邮政,
ORANGE CONNEX,orangeconnex,橙联股份,
Belize Post,belize-post,伯利兹邮政,
007EX,007ex,俄顺达,
Benin Post,benin-post,贝宁邮政,
Bermuda Post,bermuda-post,百慕大邮政,
JS EXPRESS,js-exp,急速国际,
Bhutan Post,bhutan-post,不丹邮政,
Bolivia Post,correos-bolivia,玻利维亚邮政,
Gofly,gofly,Gofly,
Gaopost,gaopost,高翔物流,
